 #
 #
 #
 #
 #
 #
 #
           2  5.09588697715510790E-007  1.55602333376281056E-007 -1.63581630999211075E-008 -2.31050447418103372E-008 -5.49789703076960679E-009  6.07549701006746328E-009  1.21516478046058347E-008  1.52925606260077518E-008  1.66867530093348488E-008  1.72873647819544247E-008  5.75421192237168097E-007  6.53063990261196976E-008 -9.40841515393267514E-008 -3.81559413689225850E-008 -1.29987600209890917E-008 -3.79729250990046995E-009  3.85619322832085708E-010  2.98021508680517672E-009  4.56355726469568400E-009  5.15810335176616119E-007  5.79025039309807774E-008 -8.97276347306472623E-008 -3.88663408039218435E-008 -1.60115256570102762E-008 -7.04409048110785405E-009 -2.50058485992266502E-009 -5.95177200772449011E-010  4.41926654136579748E-007  5.01756772679959554E-008 -7.74850775646275139E-008 -3.43309991203013908E-008 -1.43378809210863633E-008 -6.63977585508243666E-009 -4.17535310659711054E-009  3.53664849833292292E-007  3.93694913284482561E-008 -6.06687636479287468E-008 -2.68058014049536388E-008 -1.16268327270870037E-008 -7.31903089578869610E-009  2.74026961577984909E-007  2.89806270996874500E-008 -4.39201672104330629E-008 -1.97466231025054758E-008 -1.00804298553000494E-008  1.94729723248311995E-007  1.83903032440266172E-008 -2.75095026695606086E-008 -1.11189081745434197E-008  1.23656867929229952E-007  1.10953597853334657E-008 -6.04256992457635007E-009  6.05987074010843758E-008  9.71075905724357284E-009  1.25419875713771603E-008
           3  5.60117810173131482E-007  1.79896713962671901E-007 -7.81290505880707442E-010 -1.26941763016105448E-008  8.22039863546579769E-010  9.40179967644713329E-009  1.39911507588811209E-008  1.70759175745211534E-008  1.91255680609356163E-008  1.96474020838828006E-008  5.87123990531492158E-007  7.95142078315828310E-008 -8.20961315783104823E-008 -3.12151652125875366E-008 -8.53977381464960826E-009 -1.19596630942114217E-010  3.84149272330786451E-009  5.87950480554906638E-009  6.81933035566155082E-009  5.15169611189351931E-007  6.18677359960989802E-008 -8.31235525921980292E-008 -3.33642709130436280E-008 -1.15848214717258187E-008 -3.85037641416170244E-009 -5.72411582174889853E-010  9.97802049260345891E-010  4.38956805715819403E-007  5.24715738256906894E-008 -7.23903233193789563E-008 -3.02906364817046058E-008 -1.19192424929828849E-008 -5.17164615939163128E-009 -2.76936085234077752E-009  3.51857792186203583E-007  4.05730405513599454E-008 -5.82411456966444925E-008 -2.50529743136925551E-008 -1.03365193349847677E-008 -6.09247592672436219E-009  2.71491967427570154E-007  2.84825627753227214E-008 -4.30007351582980904E-008 -1.86070637216021141E-008 -9.19705301741713971E-009  1.92232652986992946E-007  1.78741215227510758E-008 -2.67978119580030435E-008 -1.06770748490167371E-008  1.22201896081031451E-007  1.07505734293715948E-008 -6.10949189394480129E-009  5.95215601321452600E-008  9.19925678185804914E-009  1.19882544631907320E-008
           4  5.97508641204884460E-007  2.00658337592854242E-007  1.03489853646370933E-008 -5.75997445480748447E-009  5.86636370065662045E-009  1.28744412430894627E-008  1.57604674128379526E-008  1.75336273955188123E-008  1.93383472507654066E-008  2.05350342317575177E-008  5.95167421084340675E-007  9.30948449687896229E-008 -6.85485037501128411E-008 -2.25223119567708182E-008 -3.69038412644331343E-009  2.40171441051374737E-009  5.34147205258159139E-009  7.50574315294090785E-009  8.76578305505266572E-009  5.16416595231358789E-007  6.90539223947910312E-008 -7.50633728681816010E-008 -2.84477044539257168E-008 -8.81465085602863646E-009 -1.75086577751412952E-009  1.35163331755995359E-009  2.50375197537194463E-009  4.36373797650241139E-007  5.47627043123089459E-008 -6.78721430722056840E-008 -2.66359288513118711E-008 -9.10315006343532017E-009 -3.24486255973318889E-009 -1.53534415976414301E-009  3.48594847992939911E-007  4.18420194520906614E-008 -5.45235025234334586E-008 -2.21007337211375219E-008 -8.59192017880981099E-009 -4.98883982812238333E-009  2.69657077861119772E-007  2.95195257805744905E-008 -4.07702692158755550E-008 -1.72198268270543538E-008 -8.22936365879468160E-009  1.90655059938200676E-007  1.78782548617298039E-008 -2.59789308283590188E-008 -9.94452038933880991E-009  1.20558986107981391E-007  1.05102900626033475E-008 -5.75720363752020146E-009  5.86732594827299912E-008  9.02456397921036352E-009  1.16863691874520719E-008
           5  6.23407843933277954E-007  2.19852431319604328E-007  1.98491099032134626E-008 -1.81944512674590102E-009  7.71585689312587942E-009  1.43598185885420506E-008  1.69660737046065720E-008  1.81118994945007078E-008  1.90770320873783237E-008  2.02640637522484407E-008  6.03725663195668698E-007  1.05420415167878248E-007 -5.78980640513631190E-008 -1.60006387387241670E-008  9.03516351052350625E-010  5.62283588316372290E-009  7.29977584963764248E-009  8.45499339374758145E-009  9.91011856912080062E-009  5.15669636120073340E-007  7.63240605875900725E-008 -6.58156477046082103E-008 -2.25047541269620792E-008 -5.49667737882170065E-009 -2.39682980116932921E-010  2.16907087612427215E-009  3.54082239770588046E-009  4.34948816230910823E-007  5.90481606883813851E-008 -6.18885990537564368E-008 -2.31879929940744983E-008 -7.38549074705888875E-009 -2.10423456000646434E-009 -4.78865701270271794E-010  3.46373090423710163E-007  4.34630966519739329E-008 -5.12330295282242238E-008 -1.97188511285928213E-008 -6.97278742525651561E-009 -3.87368640690278807E-009  2.67059438647528508E-007  3.04087371433445074E-008 -3.81978887126534264E-008 -1.52782023324613990E-008 -7.11635926994531413E-009  1.89188991352729515E-007  1.88033508894085783E-008 -2.43579353521959831E-008 -9.03277225739365952E-009  1.19718953374120083E-007  1.07642080842879357E-008 -5.24827268696657350E-009  5.78866350536446813E-008  9.00241641872346861E-009  1.15521639377934776E-008
           6  6.38543174374961817E-007  2.36110810581328441E-007  2.84395347171077469E-008  1.46305109252761675E-009  8.13666356516336027E-009  1.39739159640169134E-008  1.66403598042670056E-008  1.78770095024420621E-008  1.86903637226882464E-008  1.95064761298180353E-008  6.13048393681734885E-007  1.18717568286683581E-007 -4.79856384720371223E-008 -1.18071605442448001E-008  3.04228322837389659E-009  7.59027828084979755E-009  9.22364615921414279E-009  9.94941016772884908E-009  1.08751218606788502E-008  5.15478920063832463E-007  8.27946675967185029E-008 -5.81869118681336149E-008 -1.77762041940575597E-008 -2.50614136266245828E-009  1.84990793766607764E-009  3.29758100593230072E-009  4.26984224880698605E-009  4.32386359103715740E-007  6.33025337478063275E-008 -5.55947136542645410E-008 -1.90017246718131393E-008 -5.24249406010171101E-009 -1.21055624385958421E-009  1.65630255684523441E-010  3.44441446223844428E-007  4.64620973125166743E-008 -4.69358350724894647E-008 -1.73521433269185745E-008 -5.95951779783284411E-009 -3.13523753011755268E-009  2.65341647434693826E-007  3.17760986681031375E-008 -3.58026805920921406E-008 -1.38381244486343880E-008 -6.16248737820164338E-009  1.87536619186696664E-007  1.95366290008631355E-008 -2.26863711785068182E-008 -7.96700360490217733E-009  1.18876747055565304E-007  1.15219620539738807E-008 -4.41474807395408273E-009  5.76663545554228254E-008  9.26315945014833863E-009  1.15656404333906264E-008
           7  6.44454330852103989E-007  2.48915179992198158E-007  3.52917405025588412E-008  4.17996718291835177E-009  8.34988410267222163E-009  1.29795818055920752E-008  1.54734723754572574E-008  1.67166746658094958E-008  1.76889726588209705E-008  1.83886413826907675E-008  6.20695992351101416E-007  1.31863905110662838E-007 -3.83083009560282380E-008 -7.85210528036219815E-009  4.31700761945815649E-009  8.17224718306460494E-009  1.00969328581455207E-008  1.10833432264890968E-008  1.18275620461816949E-008  5.16418138164752550E-007  9.04957855031548483E-008 -5.09831694675054273E-008 -1.45418153898266392E-008 -8.90736420987513489E-010  3.07157638781832944E-009  4.57455239745666284E-009  5.16183250564026638E-009  4.30068918053456757E-007  6.72179774976290997E-008 -5.01555059462762576E-008 -1.58831626071733529E-008 -3.26432531442076507E-009  4.89663908285920639E-011  9.12468807501041489E-010  3.41965642610573170E-007  4.90508824160332906E-008 -4.25305153209879195E-008 -1.46404556574128183E-008 -4.65630114329249549E-009 -2.47982420209217047E-009  2.63745858172455987E-007  3.38874111581583886E-008 -3.28228160601449076E-008 -1.23572183881622261E-008 -5.46331023273747878E-009  1.86507213350004915E-007  2.07213957185297650E-008 -2.11355763948284821E-008 -7.11828131444524193E-009  1.18020353393742105E-007  1.21596364363138849E-008 -3.58075091389674011E-009  5.74969941845165389E-008  9.76047900908768732E-009  1.18018405396632119E-008
           8  6.42789903529446751E-007  2.58685053243856389E-007  4.04555642552557163E-008  5.86834298865028227E-009  8.30250957836172692E-009  1.18588537581004104E-008  1.39982944311761116E-008  1.52137288857207692E-008  1.61424657839301764E-008  1.69004681068536954E-008  6.26064837739921349E-007  1.43491547334714198E-007 -2.97169081521827645E-008 -4.43399972568543712E-009  5.64860437203183759E-009  8.60099699907203017E-009  1.03376460477535364E-008  1.16121485374123379E-008  1.24729411671896789E-008  5.17228116791038380E-007  9.85209649109613041E-008 -4.34310495716286740E-008 -1.14630573637651216E-008  8.12359511647133904E-011  3.57418123534281092E-009  5.18879188236597595E-009  5.95202966415814875E-009  4.28859048055808596E-007  7.19185219383039566E-008 -4.49313260683294052E-008 -1.34769479875516718E-008 -2.29929647340209202E-009  8.90591776510888268E-010  1.71344143757125238E-009  3.39753924722346946E-007  5.17393671627974615E-008 -3.88755596638822939E-008 -1.25650492590787079E-008 -3.47069802616496665E-009 -1.66884154839289982E-009  2.61640325609069331E-007  3.57445220211660761E-008 -2.99157444125873522E-008 -1.07244909056371845E-008 -4.64355574546710311E-009  1.85462917748690160E-007  2.22722745975484028E-008 -1.92700126392261791E-008 -6.26608988208202239E-009  1.17611644228000623E-007  1.30579675881247832E-008 -2.79924874928691555E-009  5.73364584394558521E-008  1.02301309891699989E-008  1.21344122463176049E-008
           9  6.34970941926916624E-007  2.65806997842427664E-007  4.44559688433474549E-008  6.65249103573029647E-009  7.76380390047884122E-009  1.06705170188743871E-008  1.23352925032390638E-008  1.35713308715099219E-008  1.43762357072924870E-008  1.51491914713410823E-008  6.29590062401603547E-007  1.53327535400933294E-007 -2.25224773875396968E-008 -1.80697205808369372E-009  6.59586085756380846E-009  9.07711295746512926E-009  1.05277938564014032E-008  1.18137630799125538E-008  1.27945430960520536E-008  5.17433307636583509E-007  1.05966090815925735E-007 -3.65398130192815982E-008 -8.44450328990612278E-009  1.12285374864999622E-009  3.91478759826435333E-009  5.48702308124957544E-009  6.46103651758235503E-009  4.27624282173594885E-007  7.71798968547167539E-008 -3.94840420869119578E-008 -1.12483908539950893E-008 -1.56039467482964450E-009  1.19290995142072257E-009  2.25387449227570015E-009  3.38222092342215537E-007  5.49072785903796473E-008 -3.51030416628559990E-008 -1.10585582160395645E-008 -2.82602250196714934E-009 -1.02114611448649547E-009  2.60043268445718942E-007  3.75563405077540042E-008 -2.74240690058566506E-008 -9.48639552040666322E-009 -3.84449351152401612E-009  1.84188718818504155E-007  2.36259894238630845E-008 -1.75159927020266244E-008 -5.34778988796321779E-009  1.17178320977223752E-007  1.41642390516996225E-008 -1.89854083397821816E-009  5.74352090186818426E-008  1.07823055513904865E-008  1.24909348925384652E-008
          10  6.22216787604063837E-007  2.70564301556908539E-007  4.75769432870166458E-008  6.95138559215193303E-009  6.76026444471232957E-009  9.33827068033378680E-009  1.06400855966694917E-008  1.17510524807456745E-008  1.25567671276645524E-008  1.32530769787830714E-008  6.31221778540418668E-007  1.61872900202987440E-007 -1.67335338818399459E-008  1.20418111864627348E-010  7.19776102213990277E-009  9.28368340204313507E-009  1.06848789454385668E-008  1.18831843554608872E-008  1.29018563535445103E-008  5.16770727635550080E-007  1.12813904184503075E-007 -3.05510025965876923E-008 -6.10386262659280416E-009  2.12703577406511678E-009  4.33023985868232189E-009  5.74478380280254257E-009  6.80506068553531999E-009  4.26023264693501642E-007  8.20651601325639107E-008 -3.42213919336207990E-008 -9.07280932606999495E-009 -8.48377554487828466E-010  1.46275478459456410E-009  2.59252084083118797E-009  3.36901580493309944E-007  5.84292764772378925E-008 -3.12961002925887214E-008 -9.49558339740759016E-009 -2.40743914563282577E-009 -6.22024844586861295E-010  2.58792973925212965E-007  3.99064909499925854E-008 -2.49668506330669849E-008 -8.55307424310093342E-009 -3.27227888362494302E-009  1.83173718641377853E-007  2.49926083391979916E-008 -1.60286824571558630E-008 -4.57770071325964425E-009  1.16625369465820729E-007  1.51277732948068050E-008 -1.03487575025277537E-009  5.75664589339715697E-008  1.14280526899990920E-008  1.29200056862551378E-008
          11  6.05591761022123700E-007  2.73266557623311815E-007  4.98748782937183516E-008  7.02947093653427140E-009  5.53748644862486329E-009  7.78525524988891398E-009  8.99596813704860540E-009  9.84102447300992688E-009  1.06865983676096067E-008  1.12911493423404469E-008  6.30714241710189421E-007  1.69276145367324053E-007 -1.18421208245863670E-008  1.30329950277337600E-009  7.56440371441644492E-009  9.35210926014483508E-009  1.06077713592647724E-008  1.18765668386324467E-008  1.28460034687389777E-008  5.15502858875529857E-007  1.18843500755329588E-007 -2.52407916297868141E-008 -4.32098551176233853E-009  2.74318258292258870E-009  4.75616163368178366E-009  5.96947567445602392E-009  7.06976939896536900E-009  4.24265400443546225E-007  8.65623051015954204E-008 -2.96611936975097535E-008 -7.15278476779393592E-009 -1.82247845441437116E-010  1.78332400602485543E-009  2.88461390244721263E-009  3.35246745252835297E-007  6.19000369536156886E-008 -2.76187830225439649E-008 -8.04367855367853839E-009 -1.92677728708386694E-009 -3.07193087759983955E-010  2.57680912306198428E-007  4.23708106175529498E-008 -2.23637702942314034E-008 -7.64258807377932789E-009 -2.82995504041488675E-009  1.82580591982507699E-007  2.66288852737694754E-008 -1.45578795027339941E-008 -3.94352885139495322E-009  1.16252304713158892E-007  1.60769640779433836E-008 -3.00258973975051193E-010  5.76281557400512349E-008  1.20220588253282312E-008  1.33678395459336284E-008
