 # Number of iterations in MCMC :        90000
 # Weight   -ln(L/L_{max})    omega_b    omega_cdm    n_s    A_s    H0    m_ncdm    MG_beta2 
           8   79718.926701974677       1.96987092494964600E-002  0.11319800466299057       0.96828633546829224       2.19789834387630947E-009   65.055221557617188       8.51446297019720078E-004  0.56210273504257202     
           3   79720.984426396040       1.96992233395576477E-002  0.11319749802350998       0.96829462051391602       2.19784070245414866E-009   65.055786132812500       8.40579683426767588E-004  0.56243151426315308     
          16   79721.510823438410       1.97007972747087479E-002  0.11320106685161591       0.96829473972320557       2.19779721038171509E-009   65.057907104492188       8.57978127896785736E-004  0.56205737590789795     
          13   79721.341645086795       1.97005029767751694E-002  0.11320050060749054       0.96829527616500854       2.19780192634796752E-009   65.057716369628906       8.55993304867297411E-004  0.56164854764938354     
           1   79723.090723800691       1.96999739855527878E-002  0.11319747567176819       0.96830314397811890       2.19778620649981294E-009   65.056831359863281       8.42630572151392698E-004  0.56238234043121338     
           5   79719.710385495157       1.97017118334770203E-002  0.11320093274116516       0.96830463409423828       2.19782707833888430E-009   65.057876586914063       9.26453794818371534E-004  0.56289112567901611     
           1   79719.777745466985       1.97015684098005295E-002  0.11319947242736816       0.96830862760543823       2.19782550633101899E-009   65.057510375976563       9.21241648029536009E-004  0.56290727853775024     
           3   79719.578370831878       1.97019428014755249E-002  0.11320029199123383       0.96831023693084717       2.19783179436922627E-009   65.057868957519531       9.50406014453619719E-004  0.56308853626251221     
           1   79718.596872875642       1.97013467550277710E-002  0.11319901049137115       0.96831101179122925       2.19785223061764462E-009   65.057106018066406       9.54263727180659771E-004  0.56279468536376953     
           1   79717.467574176830       1.97019968181848526E-002  0.11320147663354874       0.96830731630325317       2.19786113878539757E-009   65.057815551757813       9.74815688095986843E-004  0.56298857927322388     
           2   79718.112412693939       1.96994822472333908E-002  0.11319848895072937       0.96830213069915771       2.19789205564770300E-009   65.056228637695313       9.59896715357899666E-004  0.56231611967086792     
           1   79717.258731478141       1.96993406862020493E-002  0.11320049315690994       0.96829080581665039       2.19790672820910354E-009   65.056533813476563       9.40398895181715488E-004  0.56250238418579102     
          10   79717.257252816722       1.96988843381404877E-002  0.11319955438375473       0.96829360723495483       2.19792192489381481E-009   65.056175231933594       9.64800303336232901E-004  0.56262147426605225     
           3   79717.647448590549       1.96978636085987091E-002  0.11319783329963684       0.96829271316528320       2.19794445810247908E-009   65.055587768554688       9.64372069574892521E-004  0.56253832578659058     
           9   79717.807105411324       1.96963623166084290E-002  0.11319492757320404       0.96829122304916382       2.19797170787271850E-009   65.054328918457031       9.41630918532609940E-004  0.56199407577514648     
          14   79717.024760530607       1.96981355547904968E-002  0.11319814622402191       0.96829771995544434       2.19791878074353005E-009   65.055900573730469       9.71213507000356913E-004  0.56252932548522949     
           2   79718.256088554539       1.96975618600845337E-002  0.11319724470376968       0.96829122304916382       2.19792611710119121E-009   65.055641174316406       9.26233653444796801E-004  0.56275701522827148     
           3   79718.386776077459       1.96978803724050522E-002  0.11319537460803986       0.96830075979232788       2.19793292945523178E-009   65.055084228515625       9.48882196098566055E-004  0.56250494718551636     
           3   79718.113116616965       1.96984503418207169E-002  0.11319770663976669       0.96829348802566528       2.19789781985657168E-009   65.055908203125000       9.01705236174166203E-004  0.56240010261535645     
           4   79716.409085431529       1.96982715278863907E-002  0.11319918930530548       0.96828603744506836       2.19795231857845438E-009   65.055969238281250       9.33827250264585018E-004  0.56166011095046997     
          37   79717.113023943006       1.96968410164117813E-002  0.11319573223590851       0.96829038858413696       2.19794183795006766E-009   65.054450988769531       9.06940724235028028E-004  0.56152790784835815     
           1   79717.110677714198       1.96978952735662460E-002  0.11319888383150101       0.96828562021255493       2.19792035281810995E-009   65.055671691894531       9.00927698239684105E-004  0.56234079599380493     
           1   79717.882227078095       1.96967720985412598E-002  0.11319479346275330       0.96829056739807129       2.19793607362575682E-009   65.054016113281250       8.81614570971578360E-004  0.56173890829086304     
           7   79717.173578853224       1.96976847946643829E-002  0.11319702863693237       0.96828436851501465       2.19794812632110263E-009   65.054832458496094       8.74719873536378145E-004  0.56309783458709717     
          33   79715.565038543820       1.96975264698266983E-002  0.11319895833730698       0.96828544139862061       2.19794026586011998E-009   65.055603027343750       9.22413368243724108E-004  0.56243789196014404     
           1   79716.733531435442       1.96972284466028214E-002  0.11319755762815475       0.96828621625900269       2.19792402099650357E-009   65.055046081542969       8.89001414179801941E-004  0.56272971630096436     
           5   79716.904010718354       1.96974407881498337E-002  0.11319627612829208       0.96829485893249512       2.19793974183038737E-009   65.054832458496094       9.34912706725299358E-004  0.56290960311889648     
           4   79716.353119698790       1.96986887603998184E-002  0.11319886147975922       0.96829426288604736       2.19792244891929944E-009   65.056152343750000       9.45383275393396616E-004  0.56346338987350464     
          11   79716.381547203098       1.96973904967308044E-002  0.11319731920957565       0.96829611063003540       2.19791039636475879E-009   65.055343627929688       9.38905752263963223E-004  0.56251436471939087     
          32   79715.786004192734       1.96977052837610245E-002  0.11319809406995773       0.96829003095626831       2.19792559307483184E-009   65.055435180664063       9.11938492208719254E-004  0.56306397914886475     
           1   79716.834185705215       1.96971967816352844E-002  0.11319600790739059       0.96829068660736084       2.19792768918101874E-009   65.054870605468750       8.80644714925438166E-004  0.56231290102005005     
           4   79716.705502324956       1.96976307779550552E-002  0.11319619417190552       0.96829152107238770       2.19792978528920494E-009   65.054924011230469       8.79017869010567665E-004  0.56225496530532837     
           4   79715.669202017874       1.96991693228483200E-002  0.11319785565137863       0.96829783916473389       2.19789834387630947E-009   65.055633544921875       8.93972406629472971E-004  0.56305831670761108     
           1   79716.512042313698       1.96993760764598846E-002  0.11319807171821594       0.96829777956008911       2.19788943555776025E-009   65.056259155273438       8.88552633114159107E-004  0.56269621849060059     
           8   79716.516260414457       1.96993649005889893E-002  0.11319894343614578       0.96829515695571899       2.19788943555776025E-009   65.056861877441406       8.92582465894520283E-004  0.56212925910949707     
           5   79715.869865567089       1.96993071585893631E-002  0.11319974809885025       0.96829390525817871       2.19788262333852613E-009   65.057052612304688       8.94006807357072830E-004  0.56225860118865967     
           1   79716.106084350569       1.97004582732915878E-002  0.11319892108440399       0.96830266714096069       2.19787581114040580E-009   65.057106018066406       9.03983949683606625E-004  0.56251400709152222     
           1   79717.444045419223       1.97017136961221695E-002  0.11320077627897263       0.96830338239669800       2.19785170660890130E-009   65.058578491210938       9.08054062165319920E-004  0.56327515840530396     
           4   79716.160047751808       1.97009611874818802E-002  0.11319963634014130       0.96829658746719360       2.19787685916951143E-009   65.057174682617188       8.63592023961246014E-004  0.56356763839721680     
           7   79715.064258431536       1.97010450065135956E-002  0.11320132762193680       0.96828877925872803       2.19788524342034803E-009   65.057296752929688       8.46691371407359838E-004  0.56451737880706787     
           1   79718.649389535814       1.96982994675636292E-002  0.11319273710250854       0.96830821037292480       2.19790148799735918E-009   65.054809570312500       8.77200393006205559E-004  0.56319701671600342     
           7   79714.818710210835       1.96986347436904907E-002  0.11319579184055328       0.96829897165298462       2.19795755891138856E-009   65.055007934570313       9.15724260266870260E-004  0.56301933526992798     
           8   79714.921962701876       1.96979306638240814E-002  0.11319524794816971       0.96830165386199951       2.19799162138000233E-009   65.055114746093750       9.80388838797807693E-004  0.56212830543518066     
          53   79714.045080145501       1.96978244930505753E-002  0.11319544166326523       0.96830159425735474       2.19801625149384545E-009   65.055130004882813       1.00763409864157438E-003  0.56220251321792603     
           6   79713.664177597806       1.96974147111177444E-002  0.11319620162248611       0.96829384565353394       2.19802516032639519E-009   65.055259704589844       9.84642887488007545E-004  0.56211930513381958     
           9   79713.910640335031       1.96970179677009583E-002  0.11319608986377716       0.96828496456146240       2.19805922384265016E-009   65.055084228515625       9.63873579166829586E-004  0.56263881921768188     
          26   79713.498552296136       1.96963846683502197E-002  0.11319545656442642       0.96828573942184448       2.19809486008619630E-009   65.054733276367188       1.00470043253153563E-003  0.56192231178283691     
          24   79713.784708562569       1.96980070322751999E-002  0.11319594830274582       0.96829241514205933       2.19807337345843010E-009   65.055389404296875       1.00291147828102112E-003  0.56265532970428467     
           1   79715.618160955986       1.96969415992498398E-002  0.11319304257631302       0.96829825639724731       2.19808018626888371E-009   65.054832458496094       1.01728993467986584E-003  0.56176477670669556     
          15   79714.253641027855       1.96977443993091583E-002  0.11319474875926971       0.96828669309616089       2.19812106357504485E-009   65.055015563964844       9.84359183348715305E-004  0.56173634529113770     
          22   79713.671394631630       1.96966081857681274E-002  0.11319407075643539       0.96828955411911011       2.19810272110005241E-009   65.054428100585938       9.97706083580851555E-004  0.56134968996047974     
           3   79714.214755731911       1.96953173726797104E-002  0.11319252103567123       0.96828359365463257       2.19810481737516159E-009   65.053543090820313       9.47950466070324183E-004  0.56093931198120117     
           2   79712.366395970981       1.96962393820285797E-002  0.11319702118635178       0.96826690435409546       2.19808437877812023E-009   65.054557800292969       8.77882295753806829E-004  0.56075155735015869     
           5   79711.634641842509       1.96983143687248230E-002  0.11319968849420547       0.96827292442321777       2.19805031487203695E-009   65.055923461914063       9.03118983842432499E-004  0.56063032150268555     
          10   79712.565090644246       1.96983665227890015E-002  0.11319900304079056       0.96827965974807739       2.19803721351026063E-009   65.055992126464844       9.28692577872425318E-004  0.55993318557739258     
