# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 400, i.e. number of multipoles equal to 399
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l nc.err[1]-nc.err[1]  nc.err[1]-nc.err[2]  nc.err[1]-nc.err[3]  nc.err[1]-nc.err[4]  nc.err[1]-nc.err[5]  nc.err[1]-nc.err[6]  nc.err[1]-nc.err[7]  nc.err[1]-nc.err[8]  nc.err[1]-nc.err[9]  nc.err[1]-nc.err[10]  nc.err[2]-nc.err[2]  nc.err[2]-nc.err[3]  nc.err[2]-nc.err[4]  nc.err[2]-nc.err[5]  nc.err[2]-nc.err[6]  nc.err[2]-nc.err[7]  nc.err[2]-nc.err[8]  nc.err[2]-nc.err[9]  nc.err[2]-nc.err[10]  nc.err[3]-nc.err[3]  nc.err[3]-nc.err[4]  nc.err[3]-nc.err[5]  nc.err[3]-nc.err[6]  nc.err[3]-nc.err[7]  nc.err[3]-nc.err[8]  nc.err[3]-nc.err[9]  nc.err[3]-nc.err[10]  nc.err[4]-nc.err[4]  nc.err[4]-nc.err[5]  nc.err[4]-nc.err[6]  nc.err[4]-nc.err[7]  nc.err[4]-nc.err[8]  nc.err[4]-nc.err[9]  nc.err[4]-nc.err[10]  nc.err[5]-nc.err[5]  nc.err[5]-nc.err[6]  nc.err[5]-nc.err[7]  nc.err[5]-nc.err[8]  nc.err[5]-nc.err[9]  nc.err[5]-nc.err[10]  nc.err[6]-nc.err[6]  nc.err[6]-nc.err[7]  nc.err[6]-nc.err[8]  nc.err[6]-nc.err[9]  nc.err[6]-nc.err[10]  nc.err[7]-nc.err[7]  nc.err[7]-nc.err[8]  nc.err[7]-nc.err[9]  nc.err[7]-nc.err[10]  nc.err[8]-nc.err[8]  nc.err[8]-nc.err[9]  nc.err[8]-nc.err[10]  nc.err[9]-nc.err[9]  nc.err[9]-nc.err[10]  nc.err[10]-nc.err[10]  
  12 1.5287947530e-06 8.2049091042e-07 7.4084951312e-07 7.0929068931e-07 6.3682831032e-07 5.4746662273e-07 4.3128299929e-07 3.2251864838e-07 2.3311186004e-07 2.1541941366e-07 1.1194851581e-06 7.8344188444e-07 6.6307994417e-07 5.3714285939e-07 4.7351014274e-07 3.7501159360e-07 2.8056645972e-07 1.7973751770e-07 1.3105783962e-07 8.8303791377e-07 6.3246270764e-07 5.5571076266e-07 4.7377417700e-07 3.5924767465e-07 2.8036020679e-07 1.9251872272e-07 1.3115955392e-07 7.2825503954e-07 5.0173717081e-07 4.4127993965e-07 3.6166129625e-07 2.8254944375e-07 1.6263170158e-07 1.3061548563e-07 5.6754856959e-07 3.7898616707e-07 3.1885946108e-07 2.4998772207e-07 1.8128513445e-07 1.1821931689e-07 4.2479867815e-07 2.6442697786e-07 2.1846427450e-07 1.5723739910e-07 1.1614528784e-07 2.8969557904e-07 1.7042724560e-07 1.3209720489e-07 9.8827847205e-08 1.8205960181e-07 1.0341812474e-07 7.9797972515e-08 1.0337258333e-07 6.8171162020e-08 6.2214345021e-08
  13 1.8968952948e-06 9.6481272907e-07 8.5066659829e-07 8.1097444446e-07 7.2541273119e-07 6.2804443601e-07 4.9720058000e-07 3.7353947242e-07 2.8041389066e-07 2.6578041704e-07 1.3852112488e-06 9.5588107710e-07 7.9654345391e-07 6.3672729251e-07 5.6078126590e-07 4.3470228339e-07 3.3065586065e-07 2.0220989812e-07 1.5660776623e-07 1.0720232906e-06 7.6504342032e-07 6.6239674105e-07 5.6571379952e-07 4.1511901098e-07 3.4244200069e-07 2.1370473175e-07 1.5535233315e-07 8.7371480412e-07 5.9902078878e-07 5.2514404876e-07 4.2771995535e-07 3.2853095070e-07 1.9512477094e-07 1.5274260290e-07 6.7700197234e-07 4.5041569837e-07 3.7988645796e-07 2.9639167081e-07 2.1461354245e-07 1.3846485791e-07 5.0529135671e-07 3.1642626135e-07 2.5904665213e-07 1.8704733351e-07 1.3452229540e-07 3.4461212088e-07 2.0472874372e-07 1.5848290513e-07 1.1810453259e-07 2.1709995586e-07 1.2454857334e-07 9.5229177832e-08 1.2399593408e-07 8.2054126990e-08 7.5062167497e-08
  14 2.3072635393e-06 1.1223743504e-06 9.6025618298e-07 9.0809287079e-07 8.1935332450e-07 7.0623086345e-07 5.6257374071e-07 4.2679570638e-07 3.3159879526e-07 3.2169914433e-07 1.6891272779e-06 1.1456708038e-06 9.3377823614e-07 7.6149808320e-07 6.5243827271e-07 5.0225204422e-07 3.7785586267e-07 2.2571357508e-07 1.8513763487e-07 1.2861333264e-06 9.0931652517e-07 7.7991520170e-07 6.6442845315e-07 4.7799413986e-07 4.0251269403e-07 2.3551419443e-07 1.8161915320e-07 1.0367996436e-06 7.1053927643e-07 6.2053689927e-07 4.9728702313e-07 3.7321141375e-07 2.3645379207e-07 1.7636244128e-07 7.9890900415e-07 5.3258285148e-07 4.4842588597e-07 3.4804081548e-07 2.4743999603e-07 1.6229521731e-07 5.9457894229e-07 3.7474723073e-07 3.0453884336e-07 2.1932357763e-07 1.5396834449e-07 4.0545492417e-07 2.4267027142e-07 1.8697033047e-07 1.3890788018e-07 2.5593810378e-07 1.4766046030e-07 1.1274007784e-07 1.4688784273e-07 9.7448389514e-08 8.9269695865e-08
  15 2.7586169408e-06 1.2902384589e-06 1.0694966261e-06 1.0117865191e-06 9.0741107420e-07 7.8097096758e-07 6.2705640254e-07 4.8127570494e-07 3.8829420134e-07 3.8299901675e-07 2.0327897778e-06 1.3501952314e-06 1.0865182177e-06 8.8437737478e-07 7.4536402307e-07 5.7813478882e-07 4.2407288257e-07 2.5355166868e-07 2.1638394996e-07 1.5267364178e-06 1.0792121761e-06 9.0401952819e-07 7.6658584148e-07 5.5315681828e-07 4.6009280427e-07 2.6396637666e-07 2.0966019049e-07 1.2184775245e-06 8.3888987246e-07 7.2220809390e-07 5.7793405565e-07 4.1917102725e-07 2.8487997336e-07 2.0304602895e-07 9.3392088533e-07 6.2329921252e-07 5.2125697586e-07 4.0234862367e-07 2.7903283982e-07 1.8770055447e-07 6.9309295367e-07 4.3883354953e-07 3.5472186822e-07 2.5351286426e-07 1.7445463055e-07 4.7250230570e-07 2.8475217262e-07 2.1821603452e-07 1.6070968924e-07 2.9874648068e-07 1.7365857740e-07 1.3186774074e-07 1.7213446875e-07 1.1443504591e-07 1.0486000464e-07
  16 3.2493685435e-06 1.4748348208e-06 1.1766106344e-06 1.1011261498e-06 9.9026560492e-07 8.5684986265e-07 6.9066712254e-07 5.3911423631e-07 4.4938039132e-07 4.4949908476e-07 2.4173973479e-06 1.5664370536e-06 1.2226114054e-06 1.0145491368e-06 8.3806572125e-07 6.5738873104e-07 4.6376526933e-07 2.8126089781e-07 2.5096036674e-07 1.7950668806e-06 1.2501512348e-06 1.0364445437e-06 8.6555271023e-07 6.4217167592e-07 5.1353447440e-07 2.9614361614e-07 2.3938748257e-07 1.4196655148e-06 9.6817792570e-07 8.2744661078e-07 6.6065544832e-07 4.6154520023e-07 3.3097539484e-07 2.3007155112e-07 1.0826805582e-06 7.2349385486e-07 6.0180517764e-07 4.6079980510e-07 3.0503700954e-07 2.1401247235e-07 8.0126274238e-07 5.0931102214e-07 4.0982282792e-07 2.8860421216e-07 1.9648298509e-07 5.4603902777e-07 3.3193913393e-07 2.5113748450e-07 1.8315716479e-07 3.4569603779e-07 2.0136511806e-07 1.5245931248e-07 1.9982104435e-07 1.3256440240e-07 1.2185433420e-07
  17 3.7777384879e-06 1.6752626944e-06 1.2853230796e-06 1.2014445729e-06 1.0708938229e-06 9.3206044293e-07 7.5488259325e-07 5.9957386881e-07 5.1726778840e-07 5.2100508482e-07 2.8437872792e-06 1.8054399998e-06 1.3878535335e-06 1.1475752792e-06 9.3510674470e-07 7.3071534308e-07 5.0040106998e-07 3.1340507951e-07 2.8878385157e-07 2.0922087365e-06 1.4607367725e-06 1.1850007368e-06 9.6511486322e-07 7.4185334166e-07 5.5851609045e-07 3.3825656946e-07 2.7156630349e-07 1.6412235108e-06 1.1254901913e-06 9.5015780395e-07 7.5686196715e-07 5.0980581431e-07 3.8106287780e-07 2.6116275404e-07 1.2458048798e-06 8.3603531148e-07 6.9010590854e-07 5.2171011167e-07 3.3316144558e-07 2.4164931308e-07 9.1951390812e-07 5.8632490554e-07 4.6912872138e-07 3.3076919133e-07 2.2010767806e-07 6.2634341861e-07 3.8295938387e-07 2.8908054071e-07 2.0604819087e-07 3.9695639145e-07 2.3313785112e-07 1.7397932985e-07 2.3003522211e-07 1.5236645047e-07 1.4027175510e-07
  18 4.3418489432e-06 1.8914719109e-06 1.3944528128e-06 1.2932932827e-06 1.1508754169e-06 1.0049050395e-06 8.1821787762e-07 6.6303928058e-07 5.8936960658e-07 5.9731920330e-07 3.3124300386e-06 2.0560434744e-06 1.5539612763e-06 1.2764057098e-06 1.0370284284e-06 7.9728127265e-07 5.4409783387e-07 3.4638007925e-07 3.2984537636e-07 2.4190773916e-06 1.6819792835e-06 1.3404299196e-06 1.0636971364e-06 8.3942567291e-07 5.9500891595e-07 3.7745538953e-07 3.0584393620e-07 1.8839349412e-06 1.2950655740e-06 1.0772558735e-06 8.5428084502e-07 5.6106222052e-07 4.2412854103e-07 2.9335106364e-07 1.4238707960e-06 9.5710482466e-07 7.8231141317e-07 5.8701214470e-07 3.6130425719e-07 2.7061568909e-07 1.0482579364e-06 6.6826614708e-07 5.3387572543e-07 3.7462546355e-07 2.4542211073e-07 7.1368805892e-07 4.3618272953e-07 3.2900791159e-07 2.2949134418e-07 4.5269935125e-07 2.6763610136e-07 1.9705504034e-07 2.6286181741e-07 1.7379874489e-07 1.6012999223e-07
  19 4.9398370780e-06 2.1227894933e-06 1.5031998304e-06 1.3734739156e-06 1.2288199302e-06 1.0755295801e-06 8.8198355614e-07 7.3041149787e-07 6.6527348483e-07 6.7824636357e-07 3.8234699318e-06 2.3167914235e-06 1.7133276611e-06 1.4013608220e-06 1.1407090854e-06 8.5911311270e-07 5.8974707740e-07 3.8091343932e-07 3.7405831207e-07 2.7764304089e-06 1.9081146501e-06 1.5011206579e-06 1.1641754422e-06 9.3230709357e-07 6.2979475810e-07 4.1074417058e-07 3.4207195252e-07 2.1485100315e-06 1.4714698209e-06 1.2058394177e-06 9.4919654886e-07 6.1791092091e-07 4.5811760347e-07 3.2594459554e-07 1.6174274125e-06 1.0861029392e-06 8.7873432599e-07 6.5759360607e-07 3.9066392165e-07 3.0066482984e-07 1.1878909786e-06 7.5622139730e-07 6.0310651599e-07 4.1916719113e-07 2.7231887555e-07 8.0834359485e-07 4.9347832342e-07 3.7034069979e-07 2.5349253391e-07 5.1309169918e-07 3.0426104370e-07 2.2162338096e-07 2.9838439713e-07 1.9666283045e-07 1.8144565558e-07
  20 5.5698758142e-06 2.3680545614e-06 1.6118986248e-06 1.4511588404e-06 1.3027073165e-06 1.1446854519e-06 9.4877599189e-07 8.0242498105e-07 7.4589639378e-07 7.6360035522e-07 4.3766706429e-06 2.5914138012e-06 1.8758530263e-06 1.5249090130e-06 1.2417403501e-06 9.1891290361e-07 6.2713827415e-07 4.2023949557e-07 4.2127697973e-07 3.1648383022e-06 2.1508727128e-06 1.6699755507e-06 1.2721951053e-06 1.0228927823e-06 6.7203071988e-07 4.4097467052e-07 3.8030705906e-07 2.4355691733e-06 1.6588191556e-06 1.3401335453e-06 1.0442901168e-06 6.8610018368e-07 4.8682324913e-07 3.6001322357e-07 1.8269844255e-06 1.2244187879e-06 9.8154341318e-07 7.3305320245e-07 4.2501407080e-07 3.3158839447e-07 1.3387906179e-06 8.5267355254e-07 6.7500830538e-07 4.6604477945e-07 3.0056551946e-07 9.1057476877e-07 5.5784509045e-07 4.1419880043e-07 2.7806969901e-07 5.7829707348e-07 3.4327398054e-07 2.4722303941e-07 3.3668659616e-07 2.2081476370e-07 2.0423575441e-07
  21 6.2302759857e-06 2.6286439624e-06 1.7220476566e-06 1.5308010731e-06 1.3741649245e-06 1.2131075455e-06 1.0183086797e-06 8.7847875578e-07 8.3108441850e-07 8.5320377622e-07 4.9715244204e-06 2.8756478786e-06 2.0453502638e-06 1.6464664485e-06 1.3363459321e-06 9.7803887809e-07 6.5826328692e-07 4.6418183343e-07 4.7163287196e-07 3.5847161611e-06 2.4164398197e-06 1.8480195252e-06 1.3892651750e-06 1.1138853430e-06 7.2329907559e-07 4.6970064894e-07 4.2060457185e-07 2.7456427962e-06 1.8613978957e-06 1.4841359257e-06 1.1418196591e-06 7.6427218337e-07 5.1218072925e-07 3.9628707578e-07 2.0530029880e-06 1.3740285493e-06 1.0920539647e-06 8.1087567425e-07 4.6528973715e-07 3.6373279898e-07 1.5013115019e-06 9.5973638159e-07 7.5031997675e-07 5.1456606875e-07 3.3006251075e-07 1.0206331138e-06 6.2912187041e-07 4.6120632352e-07 3.0344284720e-07 6.4847740956e-07 3.8554578165e-07 2.7358438348e-07 3.7784950946e-07 2.4637916424e-07 2.2851534481e-07
